product_id,sap_product_code,web_product_code,name
614,NULL,ZEB0003,Earthborn Holistic Coastal Catch Adult Dog Food 2.5 KG
614,NULL,ZEB0004,Earthborn Holistic Coastal Catch Adult Dog Food 12 KG
615,NULL,ZEB0001,Earthborn Holistic Primitive Natural Adult Dog Food 2.5 KG
615,NULL,ZEB0002,Earthborn Holistic Primitive Natural Adult Dog Food 12 KG
620,NULL,ZCP0005,Solar Flare Cat Scratching Post
621,NULL,ZHG0004,Catit Elevated Speed Circuit
624,NULL,ZCP0006,Moon of Jupiter Cat Scratcher
629,NULL,ZHG0005,Catit Illuminated Balls
636,NULL,ZRZ0045,Kunduchi Catnip Spray
638,NULL,ZMX0002,Maxhealth Adult Small Bites Dog Food for Small Dogs 2 KG
638,NULL,ZMX0004,Maxhealth Adult Small Bites Dog Food for Small Dogs 15 KG
638,NULL,ZMX0003,Maxhealth Adult Small Bites Dog Food for Small Dogs 6 KG
639,NULL,ZMX0006,Maxhealth Adult Regular Bites for Medium and Large Dogs 15 KG
639,NULL,ZMX0005,Maxhealth Adult Regular Bites for Medium and Large Dogs 6 KG
659,NULL,ZRZ0046,Kunduchi Super Grass
672,NULL,THU0004,FroliCat Bolt Cat Laser Toy
677,NULL,ZMM0094,Cuddle Toy for Cats
683,NULL,ZMM0095,Crunch and Wrestle Fish Cat Toy
685,NULL,ZMA0172,Healthy Centres Cat Treats Salmon
699,NULL,ZCB0008,Hemp Heart Cushion with Valerian Cat Toy Blue
699,NULL,ZCB0006,Hemp Heart Cushion with Valerian Cat Toy Coral
699,NULL,ZCB0007,Hemp Heart Cushion with Valerian Cat Toy Brown
702,NULL,ZMA0113,Healthy Bites Hairball Remedy Cat Treats
711,NULL,ZMM0288,Refillable Catnip Beaver Cat Toy Beaver
717,NULL,ZHG0010,V-Playstation for Cats
718,NULL,ZHG0011,V-Box Cat Furniture - Small
741,NULL,ZMM0293,Melody Chaser Cat Toy Cricket
741,NULL,ZMM0290,Melody Chaser Cat Toy Owl
741,NULL,ZMM0291,Melody Chaser Cat Toy Racoon
741,NULL,ZMM0612,Melody Chaser Cat Toy Mouse
742,NULL,ZMM0121,Pet Droid Activity Mouse
743,NULL,ZMM0117,Go Buggy Catnip Cat Toy
744,NULL,ZMM0116,Purple Purr Pillow Cat Toy and Friend
745,NULL,ZMM0115,Easy Life Hammock Cat Scratcher
752,NULL,ZVA0007,Natura Roll and Ball Cat Toy
753,NULL,ZVA0006,Natura Feather Wand Cat Toy
754,NULL,ZVA0008,Natura Mouse Wand Cat Toy
755,NULL,ZVA0005,Etna Cat Furniture and Scratcher Ball
756,NULL,ZVA0004,Ararat Cat Furniture
770,NULL,ZHG0015,Catit Fireball Motion Activated Illuminating Cat Ball
776,NULL,ZHG0019,Catit Food Tree for Cats
790,NULL,ZMM0125,Scratch and Lounge Cat Scratcher
804,NULL,ZMM0319,Squirrel Catnip Cat Toys Squirrel
808,NULL,ZMM0317,Feather Hider Pet Droid Cat Toy
819,NULL,ZVA0012,Natura Dumbbell Cat Toys
862,NULL,ZMRS0022,Sheba Wet Cat Treat Tuna with Prawn Single
862,NULL,ZMRS0025,Sheba Wet Cat Treat Tuna with Prawn Box of 24
862,NULL,ZMRS0023,Sheba Wet Cat Treat Tuna with Salmon Single
862,NULL,ZMRS0026,Sheba Wet Cat Treat Tuna with Salmon Box of 24
862,NULL,ZMRS0021,Sheba Wet Cat Treat Succulent Chicken Breast Single
862,NULL,ZMRS0024,Sheba Wet Cat Treat Succulent Chicken Breast Box of 24
872,NULL,ZMM0144,Catnip Chaser Cat Toy
879,NULL,ZRC0346,Royal Canin Satiety Small Breed Dog Food 1.5 KG
879,NULL,ZRC0347,Royal Canin Satiety Small Breed Dog Food 3 KG
891,NULL,ZMM0294,TeePee Cat Scratcher
892,NULL,ZMM0295,Chaise Cat Scratcher
893,NULL,ZMM0296,Catnap and Scratch Bed for Cats
916,NULL,ZHG0029,Catit Treat Spinner for Cats
925,NULL,,(Short Expiry) Vets Choice All Breeds Adult Lite Dog Food
