id,name,slug
1258,Nandi Freeze Dried Fish Cat Treats,freeze-dried-fish-cat-treat
1267,Acana Free-Run Duck Dog Food,acana-singles-duck-dog-food
1269,Acana Grass-Fed Lamb Dog Food,acana-singles-lamb-dog-food
1270,Acana Prairie Poultry Dog Food,acana-classics-poultry-dog-food
1271,Acana Wild Coast Dog Food,acana-classics-wild-coast-dog-food
1272,Acana Heritage Adult Dog Food ,acana-heritage-dog-food
1273,Acana Heritage Adult Small Breed Dog Food,acana-heritage-small-breed-dog-food
1274,Acana Heritage Adult Large Breed Dog Food,acana-heritage-large-breed-dog-fod
1275,Acana Heritage Senior Dog Food,acana-heritage-senior-dog-food
1276,Acana Heritage Large Breed Puppy Food,acana-heritage-large-breed-puppy-food
1277,Acana Adult Light And Fit Dog Food,acana-heritage-fit-and-light-dog-food
1278,Acana Regionals Pacifica Dog Food ,acana-regionals-pacifica-dog-food
1279,Acana Wild Prairie Dog Food,acana-regionals-wild-prairie-dog-food
1298,Pawsecco Freeze-Pops For Dogs & Cats ,pawsecco-popsicle-pet-treats
1299,Karoo Senior or Overweight All Breed Dog Food,montego-karoo-senior-dog-food
1300,Winter Warmer Cat Toy - 3 Piece,winter-warmer-cat-toy-set
1301,Grumpy Cat Plush Reindeer Mouse Cat Toy,grumpy-cat-reindeer-mouse-cat-toy
1304,ZaKatz Cat Tunnel Cat Toy,zakatz-cat-tunnel-cat-toy
1305,ZaKatz 3-Way Cat Tunnel Cat Toy,zakatz-triple-cat-tunnel-cat-toy
1311,Orijen Original Freeze-Dried Cat Treats,orijen-original-freeze-dried-cat-treats
1312,Orijen Six Fish Freeze-Dried Cat Treats,orijen-fish-freeze-dried-cat-treats
1313,Orijen Freeze-Dried Cat Treats - Wild Boar,orijen-wild-boar-freeze-dried-cat-treats
1314,Orijen Freeze-Dried Dog Food - Original,orijen-original-freeze-dried-dog-food
1315,Acana Heritage Puppy & Junior Food,acana-junior-and-puppy-food
1316,Acana Heritage Small Breed Puppy Food,acana-heritage-small-breed-puppy-food
1320,Acana Heritage Sport And Agility Dog Food,acana-sport-and-agility-dog-food
1321,Acana Singles Dog Food - Pacific Pilchard,acana-singles-pacific-pilchard-dog-food
1327,Karoo Adult All Breed Dog Food,montego-karoo-adult-dog-food
1328,Karoo Small and Medium Breed Puppy Food,montego-karoo-small-medium-breed-puppy-food
1329,Karoo Large and Giant Breed Puppy Food,montego-karoo-large-giant-breed-puppy-food
